price,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,age
15999,6,2686,2,3,2,17498.0,0,0,1,2,9,0,3.0
12800,10,3852,0,5,2,108500.0,0,0,2,1,8,10,4.0
4800,6,7519,0,5,2,202635.0,0,0,0,2,10,10,17.0
6700,14,3403,3,5,2,97467.0,0,0,1,1,5,3,13.0
3995,26,6656,0,3,2,114010.0,0,0,0,2,0,0,16.0
6500,24,5263,0,6,2,38413.0,0,0,2,1,9,2,17.0
2999,4,2162,2,5,2,140472.0,5,0,1,1,9,2,19.0
14999,6,8159,2,6,2,180000.0,0,0,0,1,10,10,7.0
14950,30,40,0,6,2,114773.0,0,0,0,1,10,5,8.0
6795,0,9271,0,3,2,95000.0,0,0,1,2,9,9,10.0
7800,10,3852,3,6,2,97510.0,0,0,0,1,10,10,10.0
5500,13,1264,2,3,2,118900.0,0,0,1,2,9,9,14.0
3650,33,5466,0,3,2,74000.0,0,0,0,0,9,1,12.0
1900,17,5240,2,5,2,207.0,0,0,0,1,0,5,26.0
9950,35,838,0,5,2,207348.0,0,0,0,2,0,9,12.0
6950,6,8801,0,6,2,186021.0,0,0,0,1,0,1,15.0
16500,10,4047,2,6,2,123262.0,0,0,0,1,10,9,8.0
5900,10,4448,2,6,0,202752.0,0,0,2,1,8,8,20.0
10950,8,2223,0,6,2,106446.0,0,0,2,1,9,9,6.0
9950,8,2190,2,6,2,102878.0,0,0,2,1,9,10,6.0
6800,17,2459,0,5,2,137000.0,0,0,2,1,0,5,12.0
2800,32,5539,0,3,2,188711.0,0,0,1,2,3,0,13.0
3000,28,4691,1,6,2,167000.0,0,0,2,0,3,10,24.0
5495,6,2416,3,3,2,142881.0,0,0,1,2,3,9,10.0
5350,35,6094,3,3,2,123400.0,0,0,0,0,0,9,14.0
11950,6,8028,2,6,2,170000.0,0,0,0,1,10,0,12.0
6495,35,7781,3,6,2,206162.0,0,0,2,1,0,10,14.0
4995,14,3299,3,3,2,151223.0,0,0,1,0,9,3,12.0
4826,11,9943,3,6,2,226111.0,0,0,0,1,0,5,20.0
9599,6,1996,2,5,2,100680.0,0,1,2,1,3,9,9.0
8499,3,9730,2,6,2,104482.0,0,0,0,1,0,1,11.0
6500,35,5381,2,5,2,254000.0,0,0,0,1,0,9,12.0
5499,3,1066,2,6,2,139449.0,0,0,2,1,9,1,14.0
36500,35,788,3,5,2,3600.0,1,0,0,1,0,5,1.0
10499,3,577,2,3,2,80964.0,0,0,0,2,9,8,7.0
24999,8,2184,3,6,2,8124.0,0,1,2,1,3,7,6.0
2950,6,8028,2,6,2,230000.0,0,0,2,1,8,4,17.0
32000,13,6832,3,5,2,32104.0,0,0,1,1,0,10,3.0
4800,5,3331,3,6,2,105489.0,0,0,1,1,9,4,20.0
7995,27,9523,0,3,2,68945.0,0,0,1,2,4,1,5.0
8995,33,6633,3,3,2,129853.0,0,0,0,2,12,9,9.0
11995,20,5552,3,5,2,61205.0,4,0,0,2,9,8,8.0
8995,35,7206,0,3,2,124526.0,0,0,0,2,0,0,8.0
12995,13,6543,3,5,2,76967.0,0,0,1,1,11,5,8.0
8995,33,4831,3,3,2,123218.0,0,0,0,2,0,9,8.0
12995,10,4353,3,5,2,115531.0,0,0,0,1,10,2,9.0
8995,17,5890,3,5,2,104677.0,0,0,0,2,0,8,8.0
7495,33,5490,0,3,2,95291.0,0,0,0,2,9,9,9.0
7450,33,5850,0,3,2,123524.0,0,0,0,2,9,8,8.0
12850,33,9680,3,3,2,112000.0,0,1,0,2,4,9,6.0
9995,14,8342,0,3,2,105985.0,0,0,1,1,9,10,3.0
7995,13,2730,0,3,2,135567.0,0,0,0,2,0,4,12.0
8995,33,6638,3,3,2,129942.0,0,0,0,2,12,8,8.0
9888,35,2571,0,3,2,72858.0,0,0,1,2,9,8,7.0
6500,10,4959,0,5,2,90000.0,0,0,1,2,9,5,8.0
3995,33,4790,0,3,2,165000.0,0,0,0,2,0,10,12.0
12900,10,8669,2,6,0,157800.0,0,0,0,1,10,10,15.0
5000,27,7368,0,3,2,152000.0,0,0,0,2,0,0,9.0
2950,24,5263,2,6,2,154502.0,0,0,2,1,9,0,18.0
10800,6,2432,0,4,2,114922.0,0,0,0,2,10,8,8.0
5500,10,3695,2,5,2,140355.0,0,0,0,2,0,10,16.0
2650,8,1994,0,3,2,153000.0,0,0,1,2,12,1,11.0
22800,10,4112,2,6,0,207738.0,0,0,0,1,10,2,7.0
7200,30,45,2,6,2,227003.0,0,0,0,1,8,5,7.0
14000,35,9348,0,6,2,189000.0,0,0,0,1,10,1,9.0
4600,27,9506,2,3,2,146000.0,0,0,1,2,9,9,8.0
8999,10,3135,0,6,2,99000.0,0,0,2,1,11,10,13.0
8500,5,1484,0,3,2,135000.0,0,0,2,0,9,9,7.0
5500,30,176,2,6,2,272000.0,0,0,0,1,10,5,11.0
6995,22,442,0,3,2,101148.0,0,0,1,2,9,10,9.0
2500,17,2249,1,5,2,188000.0,0,0,0,1,10,4,21.0
9200,23,1655,3,5,2,97400.0,0,1,0,1,9,9,11.0
